service_uid,company_name,origin_crs,origin_stn_name,origin_run_time,origin_run_date,planned_final_destination,planned_final_crs,destination_reached_crs,destination_reached_name,scheduled_arrival_time,scheduled_arrival_date,arrival_lateness,cancellation_station_crs,cancellation_station_name,cancel_code
J67008,Transpennine Express,MNC,Manchester Piccadilly,113000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,115500,2023-09-03,0,,,
N80631,Transpennine Express,MNC,Manchester Piccadilly,113000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,123000,2023-09-03,0,,,
S87238,Northern,MNC,Manchester Piccadilly,113000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,124000,2023-09-03,0,,,
P60033,Northern,MNC,Manchester Piccadilly,113300,2023-09-03,Hadfield,HDF,HAD,Hadfield,121200,2023-09-03,0,,,
P60547,Northern,MNC,Manchester Piccadilly,114500,2023-09-03,Sheffield,SHF,SHE,Sheffield,130500,2023-09-03,1,,,
P44013,Northern,MNC,Manchester Piccadilly,114900,2023-09-03,Buxton,BUX,BUX,Buxton,125000,2023-09-03,-2,,,
N80653,Transpennine Express,MNC,Manchester Piccadilly,115200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,132700,2023-09-03,0,,,
L33333,Avanti West Coast,MNC,Manchester Piccadilly,115600,2023-09-03,London Euston,EUS,EUS,London Euston,141000,2023-09-03,-2,,,
N80632,Transpennine Express,MNC,Manchester Piccadilly,120000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,130000,2023-09-03,0,,,
J67009,Transpennine Express,MNC,Manchester Piccadilly,120000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,122500,2023-09-03,0,,,
P60228,Northern,MNC,Manchester Piccadilly,120100,2023-09-03,Crewe,CRE,CRE,Crewe,124900,2023-09-03,0,,,
P60034,Northern,MNC,Manchester Piccadilly,120300,2023-09-03,Hadfield,HDF,HAD,Hadfield,124200,2023-09-03,0,,,
L33335,Avanti West Coast,MNC,Manchester Piccadilly,121500,2023-09-03,London Euston,EUS,EUS,London Euston,143800,2023-09-03,0,,,
G67960,Transpennine Express,SHE,Sheffield,131000,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,144930,2023-09-03,11,MAN,Manchester Piccadilly,I5
G59376,CrossCountry,MNC,Manchester Piccadilly,122500,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,172500,2023-09-03,4,,,
J67010,Transpennine Express,MNC,Manchester Piccadilly,123000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,125500,2023-09-03,0,,,
N80633,Transpennine Express,MNC,Manchester Piccadilly,123000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,133000,2023-09-03,0,,,
S87263,Northern,MNC,Manchester Piccadilly,123000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,134000,2023-09-03,0,,,
L98394,Transport for Wales,MNC,Manchester Piccadilly,123100,2023-09-03,Crewe,CRE,CRE,Crewe,130700,2023-09-03,0,,,
P60035,Northern,MNC,Manchester Piccadilly,123300,2023-09-03,Hadfield,HDF,HAD,Hadfield,131200,2023-09-03,0,,,
G70124,East Midlands Railway,MNC,Manchester Piccadilly,124400,2023-09-03,Norwich,NRW,NRC,Norwich,172500,2023-09-03,4,,,
P59715,Northern,MNC,Manchester Piccadilly,125000,2023-09-03,Buxton,BUX,BUX,Buxton,135000,2023-09-03,0,,,
N80654,Transpennine Express,MNC,Manchester Piccadilly,125200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,142700,2023-09-03,0,,,
P60552,Northern,MNC,Manchester Piccadilly,125200,2023-09-03,Sheffield,SHF,SHE,Sheffield,140500,2023-09-03,0,,,
J67011,Transpennine Express,MNC,Manchester Piccadilly,130000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,132500,2023-09-03,0,,,
N80634,Transpennine Express,MNC,Manchester Piccadilly,130000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,140000,2023-09-03,0,,,
G59572,CrossCountry,MNC,Manchester Piccadilly,130300,2023-09-03,Paignton,PGN,PAI,Paignton,180000,2023-09-03,-1,,,
P60036,Northern,MNC,Manchester Piccadilly,130300,2023-09-03,Hadfield,HDF,HAD,Hadfield,134200,2023-09-03,-1,,,
P60230,Northern,MNC,Manchester Piccadilly,130600,2023-09-03,Crewe,CRE,CRE,Crewe,135600,2023-09-03,-1,,,
P59964,Northern,MNC,Manchester Piccadilly,131000,2023-09-03,Chester,CTR,CHS,Chester,143500,2023-09-03,0,,,
L33349,Avanti West Coast,MNC,Manchester Piccadilly,131500,2023-09-03,London Euston,EUS,EUS,London Euston,153900,2023-09-03,-1,,,
G59377,CrossCountry,MNC,Manchester Piccadilly,132500,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,182700,2023-09-03,1,,,
S87264,Northern,MNC,Manchester Piccadilly,133000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,144000,2023-09-03,0,,,
J67012,Transpennine Express,MNC,Manchester Piccadilly,133000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,135500,2023-09-03,0,,,
N80635,Transpennine Express,MNC,Manchester Piccadilly,133000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,143000,2023-09-03,0,,,
P60037,Northern,MNC,Manchester Piccadilly,133300,2023-09-03,Hadfield,HDF,HAD,Hadfield,141200,2023-09-03,0,,,
P60557,Northern,MNC,Manchester Piccadilly,134500,2023-09-03,Sheffield,SHF,SHE,Sheffield,150100,2023-09-03,3,,,
G70128,East Midlands Railway,MNC,Manchester Piccadilly,134600,2023-09-03,Norwich,NRW,NRC,Norwich,182200,2023-09-03,-1,,,
P59719,Northern,MNC,Manchester Piccadilly,135100,2023-09-03,Buxton,BUX,BUX,Buxton,145200,2023-09-03,0,,,
N80655,Transpennine Express,MNC,Manchester Piccadilly,135200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,152700,2023-09-03,0,,,
L33360,Avanti West Coast,MNC,Manchester Piccadilly,135500,2023-09-03,London Euston,EUS,EUS,London Euston,161000,2023-09-03,-3,,,
N80636,Transpennine Express,MNC,Manchester Piccadilly,140000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,150000,2023-09-03,0,,,
J67013,Transpennine Express,MNC,Manchester Piccadilly,140000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,142500,2023-09-03,0,,,
P60038,Northern,MNC,Manchester Piccadilly,140300,2023-09-03,Hadfield,HDF,HAD,Hadfield,144200,2023-09-03,2,,,
G59578,CrossCountry,MNC,Manchester Piccadilly,140300,2023-09-03,Bristol Temple Meads,BRI,BRS,Bristol Temple Meads,170700,2023-09-03,3,,,
P60231,Northern,MNC,Manchester Piccadilly,140600,2023-09-03,Crewe,CRE,CRE,Crewe,145500,2023-09-03,3,,,
L33362,Avanti West Coast,MNC,Manchester Piccadilly,141500,2023-09-03,London Euston,EUS,EUS,London Euston,163800,2023-09-03,2,,,
G67964,Transpennine Express,MNC,Manchester Piccadilly,141900,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,165130,2023-09-03,-1,,,
G59380,CrossCountry,MNC,Manchester Piccadilly,142500,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,192600,2023-09-03,1,,,
S87265,Northern,MNC,Manchester Piccadilly,143000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,154000,2023-09-03,0,,,
N80637,Transpennine Express,MNC,Manchester Piccadilly,143000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,153000,2023-09-03,0,,,
J67014,Transpennine Express,MNC,Manchester Piccadilly,143000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,145500,2023-09-03,0,,,
L98374,Transport for Wales,MNC,Manchester Piccadilly,143000,2023-09-03,Carmarthen,CMN,CMT,Carmarthen,200100,2023-09-03,10,,,
P60039,Northern,MNC,Manchester Piccadilly,143300,2023-09-03,Hadfield,HDF,HAD,Hadfield,151200,2023-09-03,0,,,
G70131,East Midlands Railway,MNC,Manchester Piccadilly,144300,2023-09-03,Norwich,NRW,NRC,Norwich,192500,2023-09-03,1,,,
P60562,Northern,MNC,Manchester Piccadilly,144500,2023-09-03,Sheffield,SHF,SHE,Sheffield,160500,2023-09-03,1,,,
P59723,Northern,MNC,Manchester Piccadilly,144900,2023-09-03,Buxton,BUX,BUX,Buxton,155000,2023-09-03,-3,,,
N80656,Transpennine Express,MNC,Manchester Piccadilly,145200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,162700,2023-09-03,0,,,
L33375,Avanti West Coast,MNC,Manchester Piccadilly,145500,2023-09-03,London Euston,EUS,EUS,London Euston,171000,2023-09-03,-1,,,
J67015,Transpennine Express,MNC,Manchester Piccadilly,150000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,152500,2023-09-03,0,,,
N80638,Transpennine Express,MNC,Manchester Piccadilly,150000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,160000,2023-09-03,0,,,
G59584,CrossCountry,MNC,Manchester Piccadilly,150300,2023-09-03,Bristol Temple Meads,BRI,BRS,Bristol Temple Meads,180600,2023-09-03,1,,,
P60040,Northern,MNC,Manchester Piccadilly,150300,2023-09-03,Hadfield,HDF,HAD,Hadfield,154200,2023-09-03,0,,,
P60233,Northern,MNC,Manchester Piccadilly,150700,2023-09-03,Crewe,CRE,CRE,Crewe,155600,2023-09-03,1,,,
P59966,Northern,MNC,Manchester Piccadilly,151000,2023-09-03,Chester,CTR,CHS,Chester,163500,2023-09-03,27,,,
L33377,Avanti West Coast,MNC,Manchester Piccadilly,151500,2023-09-03,London Euston,EUS,EUS,London Euston,173900,2023-09-03,-1,,,
G59383,CrossCountry,MNC,Manchester Piccadilly,152500,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,202700,2023-09-03,10,,,
S87266,Northern,MNC,Manchester Piccadilly,153000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,164000,2023-09-03,0,,,
J67016,Transpennine Express,MNC,Manchester Piccadilly,153000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,155500,2023-09-03,0,,,
N80639,Transpennine Express,MNC,Manchester Piccadilly,153000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,163000,2023-09-03,0,,,
L98378,Transport for Wales,MNC,Manchester Piccadilly,153000,2023-09-03,Swansea,SWA,SWA,Swansea,195600,2023-09-03,0,,,
P60041,Northern,MNC,Manchester Piccadilly,153300,2023-09-03,Hadfield,HDF,HAD,Hadfield,161200,2023-09-03,0,,,
G70134,East Midlands Railway,MNC,Manchester Piccadilly,154500,2023-09-03,Norwich,NRW,NRC,Norwich,202200,2023-09-03,9,,,
P60567,Northern,MNC,Manchester Piccadilly,154500,2023-09-03,Sheffield,SHF,SHE,Sheffield,170430,2023-09-03,2,,,
P59727,Northern,MNC,Manchester Piccadilly,154900,2023-09-03,Buxton,BUX,BUX,Buxton,165000,2023-09-03,-3,,,
N80657,Transpennine Express,MNC,Manchester Piccadilly,155200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,172700,2023-09-03,0,,,
L33390,Avanti West Coast,MNC,Manchester Piccadilly,155500,2023-09-03,London Euston,EUS,EUS,London Euston,181000,2023-09-03,2,,,
N80640,Transpennine Express,MNC,Manchester Piccadilly,160000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,170000,2023-09-03,0,,,
J67017,Transpennine Express,MNC,Manchester Piccadilly,160000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,162500,2023-09-03,0,,,
G59590,CrossCountry,MNC,Manchester Piccadilly,160300,2023-09-03,Bristol Temple Meads,BRI,BRS,Bristol Temple Meads,190800,2023-09-03,15,,,
P60042,Northern,MNC,Manchester Piccadilly,160300,2023-09-03,Hadfield,HDF,HAD,Hadfield,164200,2023-09-03,0,,,
P60235,Northern,MNC,Manchester Piccadilly,160700,2023-09-03,Crewe,CRE,CRE,Crewe,165600,2023-09-03,-2,,,
L33392,Avanti West Coast,MNC,Manchester Piccadilly,161500,2023-09-03,London Euston,EUS,EUS,London Euston,183900,2023-09-03,-2,,,
G67968,Transpennine Express,MNC,Manchester Piccadilly,161800,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,185030,2023-09-03,7,,,
G59386,CrossCountry,MNC,Manchester Piccadilly,162500,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,212600,2023-09-03,4,,,
N80641,Transpennine Express,MNC,Manchester Piccadilly,163000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,173000,2023-09-03,0,,,
J67018,Transpennine Express,MNC,Manchester Piccadilly,163000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,165500,2023-09-03,0,,,
L98396,Transport for Wales,MNC,Manchester Piccadilly,163000,2023-09-03,Swansea,SWA,SWA,Swansea,205000,2023-09-03,29,,,
S87267,Northern,MNC,Manchester Piccadilly,163000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,174000,2023-09-03,0,,,
P60043,Northern,MNC,Manchester Piccadilly,163300,2023-09-03,Hadfield,HDF,HAD,Hadfield,171200,2023-09-03,0,,,
G70137,East Midlands Railway,MNC,Manchester Piccadilly,164300,2023-09-03,Norwich,NRW,NRC,Norwich,213100,2023-09-03,7,,,
P60572,Northern,MNC,Manchester Piccadilly,164500,2023-09-03,Sheffield,SHF,SHE,Sheffield,180400,2023-09-03,4,,,
P59731,Northern,MNC,Manchester Piccadilly,164900,2023-09-03,Buxton,BUX,BUX,Buxton,175000,2023-09-03,2,,,
N80658,Transpennine Express,MNC,Manchester Piccadilly,165200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,182700,2023-09-03,0,,,
L33405,Avanti West Coast,MNC,Manchester Piccadilly,165300,2023-09-03,London Euston,EUS,EUS,London Euston,191000,2023-09-03,-4,,,
N80642,Transpennine Express,MNC,Manchester Piccadilly,170000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,180000,2023-09-03,0,,,
J67019,Transpennine Express,MNC,Manchester Piccadilly,170000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,172500,2023-09-03,0,,,
G59596,CrossCountry,MNC,Manchester Piccadilly,170300,2023-09-03,Bristol Temple Meads,BRI,BRS,Bristol Temple Meads,200500,2023-09-03,21,,,
P60044,Northern,MNC,Manchester Piccadilly,170300,2023-09-03,Hadfield,HDF,HAD,Hadfield,174200,2023-09-03,1,,,
P60236,Northern,MNC,Manchester Piccadilly,170700,2023-09-03,Crewe,CRE,CRE,Crewe,175600,2023-09-03,14,,,
P59968,Northern,MNC,Manchester Piccadilly,171000,2023-09-03,Chester,CTR,CHS,Chester,183500,2023-09-03,0,,,
L33407,Avanti West Coast,MNC,Manchester Piccadilly,171500,2023-09-03,London Euston,EUS,EUS,London Euston,195400,2023-09-03,-2,,,
G59389,CrossCountry,MNC,Manchester Piccadilly,172500,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,222600,2023-09-03,4,,,
J67020,Transpennine Express,MNC,Manchester Piccadilly,173000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,175500,2023-09-03,0,,,
N80643,Transpennine Express,MNC,Manchester Piccadilly,173000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,183000,2023-09-03,0,,,
L98380,Transport for Wales,MNC,Manchester Piccadilly,173000,2023-09-03,Shrewsbury,SHR,SHR,Shrewsbury,183800,2023-09-03,9,,,
S87268,Northern,MNC,Manchester Piccadilly,173000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,184000,2023-09-03,0,,,
P60045,Northern,MNC,Manchester Piccadilly,173300,2023-09-03,Hadfield,HDF,HAD,Hadfield,181200,2023-09-03,0,,,
G70139,East Midlands Railway,MNC,Manchester Piccadilly,174000,2023-09-03,Nottingham,NOT,NTN,Nottingham,192600,2023-09-03,7,,,
P60553,Northern,MNC,Manchester Piccadilly,174500,2023-09-03,Sheffield,SHF,SHE,Sheffield,190130,2023-09-03,0,,,
P59735,Northern,MNC,Manchester Piccadilly,174900,2023-09-03,Buxton,BUX,BUX,Buxton,185000,2023-09-03,-4,,,
N80659,Transpennine Express,MNC,Manchester Piccadilly,175200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,192700,2023-09-03,0,,,
L33420,Avanti West Coast,MNC,Manchester Piccadilly,175500,2023-09-03,London Euston,EUS,EUS,London Euston,201000,2023-09-03,14,,,
J67021,Transpennine Express,MNC,Manchester Piccadilly,180000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,182500,2023-09-03,0,,,
N80644,Transpennine Express,MNC,Manchester Piccadilly,180000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,190000,2023-09-03,0,,,
P60046,Northern,MNC,Manchester Piccadilly,180300,2023-09-03,Hadfield,HDF,HAD,Hadfield,184200,2023-09-03,0,,,
G59049,CrossCountry,MNC,Manchester Piccadilly,180300,2023-09-03,Birmingham New Street,BHM,BHA,Birmingham New Street,193300,2023-09-03,0,,,
P60219,Northern,MNC,Manchester Piccadilly,180700,2023-09-03,Crewe,CRE,CRE,Crewe,185600,2023-09-03,-2,,,
L33422,Avanti West Coast,MNC,Manchester Piccadilly,181500,2023-09-03,London Euston,EUS,EUS,London Euston,203900,2023-09-03,1,,,
G67972,Transpennine Express,MNC,Manchester Piccadilly,181800,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,204900,2023-09-03,16,,,
G59391,CrossCountry,MNC,Manchester Piccadilly,182500,2023-09-03,Southampton Central,SOU,SOT,Southampton Central,224200,2023-09-03,4,,,
J67022,Transpennine Express,MNC,Manchester Piccadilly,183000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,185500,2023-09-03,0,,,
N80645,Transpennine Express,MNC,Manchester Piccadilly,183000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,193000,2023-09-03,0,,,
S87269,Northern,MNC,Manchester Piccadilly,183000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,194000,2023-09-03,0,,,
L98398,Transport for Wales,MNC,Manchester Piccadilly,183000,2023-09-03,Carmarthen,CMN,CRD,Cardiff Central,214300,2023-09-03,35,BGN,Bridgend,TG
P60047,Northern,MNC,Manchester Piccadilly,183300,2023-09-03,Hadfield,HDF,HAD,Hadfield,191200,2023-09-03,0,,,
G70143,East Midlands Railway,MNC,Manchester Piccadilly,184300,2023-09-03,Norwich,NRW,NRC,Norwich,231500,2023-09-03,6,,,
P60558,Northern,MNC,Manchester Piccadilly,184500,2023-09-03,Sheffield,SHF,SHE,Sheffield,200130,2023-09-03,14,,,
P59739,Northern,MNC,Manchester Piccadilly,184900,2023-09-03,Buxton,BUX,BUX,Buxton,195000,2023-09-03,1,,,
N80660,Transpennine Express,MNC,Manchester Piccadilly,185200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,202700,2023-09-03,0,,,
L33432,Avanti West Coast,MNC,Manchester Piccadilly,185500,2023-09-03,London Euston,EUS,EUS,London Euston,211400,2023-09-03,3,,,
J67023,Transpennine Express,MNC,Manchester Piccadilly,190000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,192500,2023-09-03,0,,,
N80646,Transpennine Express,MNC,Manchester Piccadilly,190000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,200000,2023-09-03,0,,,
P60048,Northern,MNC,Manchester Piccadilly,190300,2023-09-03,Hadfield,HDF,HAD,Hadfield,194200,2023-09-03,0,,,
P60221,Northern,MNC,Manchester Piccadilly,190700,2023-09-03,Crewe,CRE,CRE,Crewe,195600,2023-09-03,-1,,,
P59970,Northern,MNC,Manchester Piccadilly,191000,2023-09-03,Chester,CTR,CHS,Chester,203500,2023-09-03,0,,,
G59628,CrossCountry,MNC,Manchester Piccadilly,192500,2023-09-03,Reading,RDG,RDN,Reading,223900,2023-09-03,-1,,,
